,name,url,Avg_Rate,Location,Price,Quality,Service,Space
911,Măng’s Mania - Ẩm Thực Chay,/ho-chi-minh/mang-s-mania-am-thuc-chay,6.32,6.4,5.2,6.3,6.5,7.2
912,Phở Hotpot - SC Vivo City,/ho-chi-minh/pho-hotpot-sc-vivo-city,8.088,8.2,6.9,8.4,8.1,8.8
913,Phở Hotpot - Phạm Hùng,/ho-chi-minh/pho-hotpot-pham-hung,6.936,7.5,6.4,7.2,6.4,7.2
914,Phở Hotpot - Vincom Sky Center,/ho-chi-minh/pho-hotpot-vincom-sky-center,6.242,7.3,5.4,6.0,6.0,6.4
915,Colin's Kitchen - Spaghetti,/ho-chi-minh/colin-s-kitchen-spaghetti,8.724,8.2,9.1,9.3,8.9,8.2
916,Heart Of Darkness - Nhà Hàng Bia,/ho-chi-minh/heart-of-darkness-nha-hang-bia,7.878,8.1,7.2,8.4,8.1,7.6
917,Phước Lộc Thọ 2 - Restaurant & Hotel,/ho-chi-minh/phuoc-loc-tho-2-hotel-su-van-hanh,9.0,9.0,9.0,8.7,9.0,9.3
918,Kap Kap - Ẩm Thực Hoa & Cafe,/ho-chi-minh/kap-kap-am-thuc-hoa-cafe,5.65,6.2,5.1,5.2,5.8,6.1
919,Chị Ba Pratunam - Vincom Lê Văn Việt,/ho-chi-minh/chi-ba-pratunam-vincom-le-van-viet,9.0,9.0,9.0,9.0,9.0,9.0
920,3G Trois Gourmands - Món Pháp,/ho-chi-minh/3g-trois-gourmands,8.174,7.5,7.5,8.8,8.8,8.3
921,Food Court - E Mart Gò Vấp,/ho-chi-minh/food-court-e-mart-go-vap,6.82,7.3,7.4,7.0,6.2,6.3
922,My Bánh Mì,/ho-chi-minh/my-banh-mi,7.498,8.0,6.1,8.5,7.3,7.6
923,Pizza Hut - Luỹ Bán Bích,/ho-chi-minh/pizza-hut-luy-ban-bich,6.776,7.4,6.3,6.3,6.7,7.1
924,Cừu Non - Đặc Sản Cừu,/ho-chi-minh/quan-cuu-nuong-hy-lap,7.37,7.7,6.4,8.1,6.9,7.7
925,Beeftex,/ho-chi-minh/beeftex,7.428,7.3,7.4,7.1,7.5,7.9
926,Nhà Hàng Bê Vàng - Hải Sản & Bê Thui Nóng,/ho-chi-minh/be-vang,5.97,6.0,5.7,6.0,6.0,6.1
927,The Little Love - Ẩm Thực Hàn Thái Nhật,/ho-chi-minh/the-little-love-am-thuc-han-thai-nhat,7.532,7.2,7.4,7.9,7.6,7.5
928,The Pizza Company - Nguyễn Thị Minh Khai,/ho-chi-minh/the-pizza-company-nguyen-thi-minh-khai,7.428,7.6,7.2,7.6,7.2,7.6
929,Gajumaru Japanese Homemade Cuisine,/ho-chi-minh/gajumaru-japanese-homemade-cuisine,9.452,8.6,9.8,9.9,9.8,9.3
930,Gourmet 217 Restaurant,/ho-chi-minh/gourmet-217-restaurant,9.2,9.3,9.0,9.0,9.5,9.3
931,Nhà Hàng Thiên Nam - Ẩm Thực Hoa & Pháp,/ho-chi-minh/nha-hang-thien-nam-am-thuc-hoa-phap,7.014,7.5,6.3,7.5,7.1,6.8
932,CCCP Saigon Cafe & Restaurant,/ho-chi-minh/cccp-saigon-cafe-restaurant,7.754,7.4,7.2,8.3,7.9,7.9
933,Tengu Japanese Dining,/ho-chi-minh/tengu-japanese-dining,8.1,6.0,7.5,9.5,10.0,7.5
934,Pizza Hut - AEON Mall Tân Phú,/ho-chi-minh/pizza-hut-aeon-mall-tan-phu,5.72,6.2,5.8,5.4,4.4,6.8
935,Pasteur Street Brewing Co. - Original Taproom & Restaurant,/ho-chi-minh/pasteur-street-brewing-company-pasteur,7.616,7.9,7.1,8.0,7.7,7.4
936,Sushi Uraetei - Cộng Hòa,/ho-chi-minh/sushi-uraetei-cong-hoa,6.7780000000000005,7.3,5.9,6.7,6.6,7.4
937,Chả Cá Lã Vọng - Nguyễn Văn Linh,/ho-chi-minh/cha-ca-la-vong-pham-van-nghi,5.334,6.9,3.4,5.6,5.0,5.8
938,Sushi Masa - Thạch Thị Thanh,/ho-chi-minh/sushi-masa,7.656,7.6,7.7,7.8,7.8,7.4
939,Sân Mây - Nhà Hàng Chay,/ho-chi-minh/san-may-nha-hang-chay,6.486,7.2,6.1,6.8,5.8,6.6
940,Bếp Nhà Xứ Quảng - Home Kitchen,/ho-chi-minh/co-ba-xu-quang-home-kitchen,7.472,7.7,6.3,7.6,7.6,8.1
941,Vons Chicken - Đường Số 18,/ho-chi-minh/vons-chicken-duong-so-18,10.0,10.0,10.0,10.0,10.0,10.0
942,YeolKwang - Ẩm Thực Hàn Quốc - Thái Thuận,/ho-chi-minh/yeol-kwang-am-thuc-han-quoc-thai-thuan,8.2,7.0,8.3,9.3,8.7,7.7
943,Tokyo Bowl - Sushi & BBQ - Parkson Cantavil,/ho-chi-minh/tokyo-bowl-sushi-bbq-parkson-cantavil,6.534,7.3,6.0,6.2,6.7,6.5
944,Tano Restaurant,/ho-chi-minh/tano-restaurant,3.6,4.5,2.5,2.8,2.5,5.8
945,7 Nị Steak House,/ho-chi-minh/7-ni-steak-house,7.0,7.3,7.0,7.0,6.7,7.0
946,Pizza Hut - Lê Văn Sỹ,/ho-chi-minh/pizza-hut-le-van-sy,6.62,7.3,6.2,5.9,6.7,7.0
947,Butasama Japanese BBQ - Yakiniku & Horumonyaki,/ho-chi-minh/butasama-nha-hang-yakiniku-horumonyaki,8.372,8.1,8.3,8.7,8.8,7.9
948,Pepper Lunch - SC VivoCity,/ho-chi-minh/pepper-lunch-sc-vivocity,7.13,7.4,6.3,7.3,7.4,7.3
949,Xóm Chài Quán - Trường Sơn,/ho-chi-minh/xom-chai-quan-truong-son,6.932,6.3,7.0,7.3,6.3,7.7
950,Kiki Hotpot - Lẩu 1 Người - Nguyễn Đức Cảnh,/ho-chi-minh/kiki-hotpot-lau-1-nguoi,8.252,8.5,7.5,8.4,8.5,8.4
951,Al Fresco's - Mạc Đĩnh Chi,/ho-chi-minh/al-fresco-s-mac-dinh-chi,7.44,7.5,6.7,7.9,7.6,7.4
